NULL	NULL	0
	NULL	0
1	NULL	0
1.0	NULL	0
10	NULL	0
10055.0	NULL	0
1053.0	NULL	0
106.0	NULL	0
11	NULL	0
11129.0	NULL	0
1122.0	NULL	0
11616.0	NULL	0
12	NULL	0
1205.0	NULL	0
1274.0	NULL	0
13	NULL	0
14	NULL	0
1467.0	NULL	0
15	NULL	0
1578.0	NULL	0
16	NULL	0
17	NULL	0
18	NULL	0
19	NULL	0
19858.0	NULL	0
2	NULL	0
20	NULL	0
2012	NULL	0
2013	NULL	0
2014	NULL	0
2015	NULL	0
207.0	NULL	0
21	NULL	0
22	NULL	0
2240.0	NULL	0
22913.0	NULL	0
3	NULL	0
30037.0	NULL	0
34133.0	NULL	0
4	NULL	0
4291.0	NULL	0
44930.0	NULL	0
4512.0	NULL	0
5	NULL	0
52716.0	NULL	0
54.0	NULL	0
5413.0	NULL	0
5422.0	NULL	0
57376.0	NULL	0
6	NULL	0
6006.0	NULL	0
6624.0	NULL	0
6691.0	NULL	0
7	NULL	0
79908.0	NULL	0
8	NULL	0
81522.0	NULL	0
83.0	NULL	0
864.0	NULL	0
8716.0	NULL	0
9	NULL	0
975.0	NULL	0
2015	Aggravated Harrassment	13
2012	Arson	296
2013	Arson	644
2014	Arson	623
2015	Arson	365
2012	Grand larceny of motor vehicles	798
2013	Grand larceny of motor vehicles	1691
2014	Grand larceny of motor vehicles	1603
2015	Grand larceny of motor vehicles	557
2015	OFFENSES AGAINST PUBLIC ADMINISTRATION	122
2015	OFFENSES AGAINST THE PEPRSON	38
2012	Vehicle and traffic laws	9
2013	Vehicle and traffic laws	3
2014	Vehicle and traffic laws	5
2015	Vehicle and traffic laws	1
2012	assault	2856
2013	assault	6115
2014	assault	6086
2015	assault	2640
2015	assault and other related offenses	34
2012	burglary	1696
2013	burglary	3011
2014	burglary	2610
2015	burglary	939
2012	criminal mischief	2516
2013	criminal mischief	4694
2014	criminal mischief	4495
2015	criminal mischief	2206
2012	criminal trespass	27
2013	criminal trespass	434
2014	criminal trespass	566
2015	criminal trespass	249
2012	fel criminal misceif and related offenses	154
2013	fel criminal misceif and related offenses	206
2014	fel criminal misceif and related offenses	236
2015	fel criminal misceif and related offenses	184
2015	fel criminal mischief and related offenses	1288
2015	fel crimincal mischief and other related offenses	136
2012	felony assault	184
2013	felony assault	234
2014	felony assault	284
2015	felony assault	111
2012	felony dangerous weapon	184
2013	felony dangerous weapon	380
2014	felony dangerous weapon	451
2015	felony dangerous weapon	176
2012	felony dangerous weapons	140
2013	felony dangerous weapons	277
2014	felony dangerous weapons	322
2015	felony dangerous weapons	248
2015	felony possession of stolen property	51
2012	felony sex crimes	108
2013	felony sex crimes	105
2014	felony sex crimes	87
2015	felony sex crimes	51
2012	forgery, theft fraud, identity theft	188
2013	forgery, theft fraud, identity theft	406
2014	forgery, theft fraud, identity theft	487
2015	forgery, theft fraud, identity theft	279
2012	grand larceny of motor vehicles	2613
2013	grand larceny of motor vehicles	4470
2014	grand larceny of motor vehicles	4225
2015	grand larceny of motor vehicles	1434
2012	harassment	168
2013	harassment	423
2014	harassment	352
2015	harassment	170
2012	harrassment	435
2013	harrassment	929
2014	harrassment	981
2015	harrassment	488
2012	intoxicated, mpaired driving	111
2013	intoxicated, mpaired driving	256
2014	intoxicated, mpaired driving	251
2015	intoxicated, mpaired driving	122
2012	misdemanor possession of stolen property	148
2013	misdemanor possession of stolen property	305
2014	misdemanor possession of stolen property	281
2015	misdemanor possession of stolen property	81
2012	misdemeanor dangerous drugs	2104
2013	misdemeanor dangerous drugs	3859
2014	misdemeanor dangerous drugs	4258
2015	misdemeanor dangerous drugs	1821
2012	misdemeanor sex crime	169
2013	misdemeanor sex crime	242
2014	misdemeanor sex crime	272
2015	misdemeanor sex crime	131
2012	murder	176
2013	murder	346
2014	murder	377
2015	murder	184
2012	other	2413
2013	other	4777
2014	other	5005
2015	other	2158
2015	other felonies	167
2012	other felony	465
2013	other felony	855
2014	other felony	906
2015	other felony	351
2012	other misdemanor	179
2013	other misdemanor	315
2014	other misdemanor	386
2015	other misdemanor	826
2012	other misdemeanor	1
2013	other misdemeanor	6
2014	other misdemeanor	6
2015	other misdemeanor	29
2012	other violations	6438
2013	other violations	14081
2014	other violations	14905
2015	other violations	9378
2012	petit larceny	4282
2013	petit larceny	8246
2014	petit larceny	8687
2015	petit larceny	3228
2012	robbery	1232
2013	robbery	2270
2014	robbery	2090
2015	robbery	749
2012	vehicle and traffic laws	1388
2013	vehicle and traffic laws	2821
2014	vehicle and traffic laws	2850
2015	vehicle and traffic laws	1581
2015	vehicle and traffice laws	1399
2012	vehicle related	242
2013	vehicle related	495
2014	vehicle related	409
2015	vehicle related	228
